"filename", "language", "PHP", "Ini", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/task-log.php", "PHP", 25, 0, 0, 0, 0, 8, 33
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/tasks.php", "PHP", 35, 0, 0, 0, 0, 8, 43
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/templates.php", "PHP", 21, 0, 0, 0, 0, 8, 29
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/terminal-input.php", "PHP", 32, 0, 0, 0, 5, 9, 46
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/terminal-output.php", "PHP", 183, 0, 0, 0, 14, 33, 230
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/terminal-start.php", "PHP", 79, 0, 0, 0, 5, 17, 101
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/upload-chunk.php", "PHP", 75, 0, 0, 0, 24, 20, 119
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/users.php", "PHP", 112, 0, 0, 0, 1, 27, 140
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/windows-deploy.php", "PHP", 169, 0, 0, 0, 17, 33, 219
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/windows-images.php", "PHP", 49, 0, 0, 0, 4, 14, 67
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/css/app.css", "PostCSS", 0, 0, 0, 1293, 50, 211, 1554
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/api.js", "JavaScript", 0, 0, 275, 0, 11, 88, 374
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/app.js", "JavaScript", 0, 0, 452, 0, 35, 63, 550
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/controls.js", "JavaScript", 0, 0, 113, 0, 8, 14, 135
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/dashboard.js", "JavaScript", 0, 0, 1242, 0, 38, 112, 1392
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/deploy.js", "JavaScript", 0, 0, 388, 0, 10, 37, 435
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/health.js", "JavaScript", 0, 0, 950, 0, 20, 73, 1043
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/loadbalancer.js", "JavaScript", 0, 0, 370, 0, 5, 39, 414
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/maintenance.js", "JavaScript", 0, 0, 397, 0, 7, 34, 438
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/monitoring.js", "JavaScript", 0, 0, 518, 0, 0, 12, 530
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/reports.js", "JavaScript", 0, 0, 736, 0, 8, 53, 797
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/settings.js", "JavaScript", 0, 0, 1313, 0, 15, 93, 1421
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/tasks.js", "JavaScript", 0, 0, 135, 0, 1, 20, 156
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/templates.js", "JavaScript", 0, 0, 2023, 0, 49, 196, 2268
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/toast.js", "JavaScript", 0, 0, 42, 0, 2, 7, 51
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/updater.js", "JavaScript", 0, 0, 371, 0, 13, 40, 424
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/components/users.js", "JavaScript", 0, 0, 420, 0, 11, 38, 469
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/permissions.js", "JavaScript", 0, 0, 16, 0, 0, 5, 21
"/home/michael/Coding/ProxmoxDeployTemplate/public/assets/js/utils.js", "JavaScript", 0, 0, 271, 0, 28, 35, 334
"/home/michael/Coding/ProxmoxDeployTemplate/public/index.php", "PHP", 551, 0, 0, 0, 4, 24, 579
"/home/michael/Coding/ProxmoxDeployTemplate/public/login.php", "PHP", 199, 0, 0, 0, 1, 15, 215
"Total", "-", 6525, 4, 10032, 1293, 716, 2281, 20851
