"filename", "language", "JSON", "PHP", "Docker", "Ignore", "YAML", "Shell Script", "Properties", "Markdown", "Ini", "PostCSS", "JavaScript", "comment", "blank", "total"
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/community-scripts.php", "PHP", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 30, 174
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/custom-images-distribute.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 114
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/custom-images.php", "PHP", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29, 160
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/delete-guest.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 55
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/generate-ssh-key.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 70
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/guest-config.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/guest-ips-bulk.php", "PHP", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 194
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/guest-ips.php", "PHP", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 160
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/guests.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 77
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/ha.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 69
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/loadbalancer-history.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/loadbalancer.php", "PHP", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 115
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/login.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 42
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/logout.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/logs.php", "PHP", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 179
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/maintenance-status.php", "PHP", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 120
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/maintenance.php", "PHP", 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 46, 332
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/me.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 43
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/migrate.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 82
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/monitoring-rightsizing.php", "PHP", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 116
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/monitoring.php", "PHP", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 127
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/networks.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/next-vmid.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/node-info.php", "PHP", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 86
"/home/michael/Coding/ProxmoxDeployTemplate/public/api/node-update.php", "PHP", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23, 144
